ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
112,Illinois,4/14/20,23248,868,,22380,198.0972,110616,4283,3.733654508,942.5636562,18.42309016
113,Indiana,4/14/20,8527,387,,8140,130.3026867,46017,,4.538524686,703.19441,
114,Iowa,4/14/20,1899,49,741,1850,72.46119663,18885,163,2.580305424,720.605423,8.583464982
115,Kansas,4/14/20,1441,69,,1372,59.09399595,14147,327,4.78834143,580.1545876,22.6925746
116,Kentucky,4/14/20,2048,106,629,1942,59.82526233,26683,673,5.17578125,779.4518919,32.86132813
117,Louisiana,4/14/20,21518,1013,,20505,468.0607996,118422,1977,4.707686588,2575.922298,9.187656845
118,Maine,4/14/20,735,20,292,715,62.60615363,12342,124,2.721088435,1051.27231,16.8707483
119,Maryland,4/14/20,9472,302,607,9170,159.371801,53733,2122,3.18834459,904.0883612,22.4028716
120,Massachusetts,4/14/20,28164,844,,27320,410.3283151,126551,2340,2.996733419,1843.752968,8.308478909
121,Michigan,4/14/20,27001,1768,452,25233,338.8994885,86226,3910,6.547905633,1082.254261,14.48094515
122,Minnesota,4/14/20,1695,79,909,1616,34.26702728,39241,405,4.660766962,793.3170604,23.89380531
123,Mississippi,4/14/20,3087,111,,2976,106.6245373,37878,596,3.595724004,1308.300687,19.30677033
124,Missouri,4/14/20,4746,149,,4597,80.99728029,47978,1041,3.139485883,818.8132141,21.93426043
125,Montana,4/14/20,399,7,197,392,46.07459465,9234,50,1.754385965,1066.297762,12.53132832
126,Nebraska,4/14/20,897,20,,877,58.80918289,11357,,2.229654404,744.5885062,
127,Nevada,4/14/20,3134,126,,3008,103.8884581,26661,,4.020421187,883.7811686,
128,New Hampshire,4/14/20,922,25,249,897,69.41997428,11610,152,2.711496746,874.1495677,16.48590022
129,New Jersey,4/14/20,68824,2805,,66019,774.8539493,139774,8185,4.075613158,1573.643437,11.89265373
130,New Mexico,4/14/20,1345,31,304,1314,80.65807393,31970,181,2.304832714,1917.203438,13.45724907
131,New York,4/14/20,203020,10842,23887,192178,1204.078637,499143,46201,5.340360556,2960.336041,22.75687124
132,North Carolina,4/14/20,5113,112,,5001,51.55338215,65039,418,2.190494817,655.7755568,8.175239585
133,North Dakota,4/14/20,341,8,138,333,56.23184008,10916,42,2.346041056,1800.078494,12.31671554
134,Ohio,4/14/20,7285,324,,6961,65.19680755,67874,2156,4.447494852,607.4355684,29.59505834
135,Oklahoma,4/14/20,2184,108,1060,2076,59.71073104,28269,488,4.945054945,772.8766738,22.34432234
136,Oregon,4/14/20,1633,55,,1578,40.75292845,32363,381,3.368034293,807.6466769,23.3312921
137,Pennsylvania,4/14/20,25465,691,,24774,202.3039211,133631,2317,2.713528372,1061.616936,9.098763008
138,Rhode Island,4/14/20,3251,80,135,3171,306.8831116,22900,331,2.460781298,2161.680485,10.18148262
139,South Carolina,4/14/20,3553,97,,3456,70.49638143,33872,675,2.73008725,672.0668257,18.99802983
140,South Dakota,4/14/20,988,6,261,982,134.2588315,9296,45,0.607287449,1263.228843,4.55465587
141,Tennessee,4/14/20,5827,124,1969,5703,88.75952809,78831,633,2.128024713,1200.789833,10.86322293
142,Texas,4/14/20,15006,342,2580,14664,65.28730307,146467,1409,2.279088365,637.2407983,9.389577502
143,Utah,4/14/20,2417,18,218,2399,84.3370383,46476,213,0.744724866,1621.699707,8.812577576
144,Vermont,4/14/20,752,29,15,723,123.1593653,10585,64,3.856382979,1733.566332,8.510638298
145,Virginia,4/14/20,6182,154,721,6028,78.18161354,42763,1282,2.491103203,540.8088547,20.73762536
146,Washington,4/14/20,10799,530,,10269,143.0444235,93929,387,4.907861839,1244.191097,3.583665154
147,West Virginia,4/14/20,640,9,147,631,48.37497865,17038,164,1.40625,1287.832635,25.625
148,Wisconsin,4/14/20,3555,170,,3385,68.70134742,41552,1049,4.781997187,803.0037659,29.50773558
149,Wyoming,4/14/20,282,1,140,281,56.71305607,5964,43,0.354609929,1199.420803,15.24822695
150,Alabama,4/15/20,4075,118,,3957,86.9074326,34077,525,2.895705521,726.7594063,12.88343558
151,Alaska,4/15/20,293,9,106,284,49.01722964,8664,34,3.071672355,1449.437808,11.60409556
152,Arizona,4/15/20,3964,142,385,3822,54.4601473,45310,590,3.582240161,622.4998169,14.8839556
153,Arkansas,4/15/20,1569,33,489,1536,60.60191725,21834,130,2.103250478,843.328401,8.285532186
154,California,4/15/20,26686,860,,25826,68.06156401,216486,5163,3.226410852,552.1387899,19.34722326
155,Colorado,4/15/20,7956,328,,7628,140.3963745,39580,1556,4.122674711,698.4525517,19.55756662
156,Connecticut,4/15/20,14755,868,,13887,413.8516759,50143,1908,5.88275161,1406.42254,12.93120976
157,Delaware,4/15/20,2014,46,354,1968,206.8262947,13102,208,2.284011917,1345.500552,10.32770606
158,Florida,4/15/20,22511,596,,21915,106.0209001,213509,3344,2.647594509,1005.571337,14.8549598
159,Georgia,4/15/20,14987,552,,14435,147.8096371,64090,2922,3.6831921,632.0891201,19.49689731
160,Hawaii,4/15/20,524,9,333,515,37.01124322,19803,45,1.717557252,1398.728339,8.58778626
161,Idaho,4/15/20,1473,39,,1434,91.46244917,15398,141,2.647657841,956.1023709,9.572301426
162,Illinois,4/15/20,24593,949,,23644,209.5580024,116929,4283,3.858821616,996.3569986,17.41552474
163,Indiana,4/15/20,8960,436,,8524,136.9194409,48396,,4.866071429,739.5483553,
164,Iowa,4/15/20,1995,53,908,1942,76.12432189,19869,171,2.656641604,758.152457,8.571428571
165,Kansas,4/15/20,1504,71,,1433,61.67756413,14668,342,4.720744681,601.5202863,22.7393617
166,Kentucky,4/15/20,2210,115,653,2095,64.55753405,27697,687,5.20361991,809.0724076,31.08597285
167,Louisiana,4/15/20,21951,1103,,20848,477.479441,121928,1943,5.024828026,2652.185016,8.85153296
168,Maine,4/15/20,770,24,305,746,65.58739904,14846,126,3.116883117,1264.559125,16.36363636
169,Maryland,4/15/20,10032,311,607,9721,168.7941198,55763,2231,3.100079745,938.2442686,22.23883573
170,Massachusetts,4/15/20,29918,1108,,28810,435.882777,132023,3454,3.703456113,1923.475896,11.54488936
171,Michigan,4/15/20,28059,1921,452,26138,352.1788359,89697,3918,6.846288178,1125.820059,13.96343419
172,Minnesota,4/15/20,1809,87,940,1722,36.5717123,40242,445,4.809286899,813.5538122,24.59922609
173,Mississippi,4/15/20,3360,122,,3238,116.0539181,38151,645,3.630952381,1317.730068,19.19642857
174,Missouri,4/15/20,4791,153,,4638,81.76526968,49012,1024,3.19348779,836.4599034,21.37340847
175,Montana,4/15/20,404,7,209,397,46.65197053,9583,51,1.732673267,1106.598598,12.62376238
176,Nebraska,4/15/20,901,20,,881,59.07143119,11729,,2.219755827,768.9775987,
177,Nevada,4/15/20,3211,131,,3080,106.4409187,27655,,4.079725942,916.7311135,
178,New Hampshire,4/15/20,1139,32,365,1107,85.75851486,12166,178,2.809482002,916.0123721,15.62774363
179,New Jersey,4/15/20,71030,3156,,67874,799.6901665,144021,8270,4.443193017,1621.458221,11.64296776
180,New Mexico,4/15/20,1484,36,340,1448,88.99374105,32850,181,2.425876011,1969.976006,12.1967655
181,New York,4/15/20,214454,11617,23887,202837,1271.891833,526012,46201,5.417012506,3119.691715,21.5435478
182,North Carolina,4/15/20,5340,130,,5210,53.84217889,67827,431,2.434456929,683.8864172,8.071161049
183,North Dakota,4/15/20,365,9,142,356,60.18950625,11317,44,2.465753425,1866.204499,12.05479452
184,Ohio,4/15/20,7794,362,,7432,69.75208209,71552,2237,4.644598409,640.3516779,28.70156531
185,Oklahoma,4/15/20,2263,123,1115,2140,61.87059722,29219,510,5.435262925,798.8497482,22.53645603
186,Oregon,4/15/20,1663,58,,1605,41.50160441,33351,401,3.48767288,832.303072,24.11304871
187,Pennsylvania,4/15/20,26753,779,,25974,212.5362969,137584,2395,2.911822973,1093.021115,8.952267035
188,Rhode Island,4/15/20,3251,80,168,3171,306.8831116,25897,331,2.460781298,2444.586878,10.18148262
189,South Carolina,4/15/20,3656,106,,3550,72.54004236,34733,675,2.899343545,689.1502438,18.46280088
190,South Dakota,4/15/20,1168,6,329,1162,158.7189425,9859,51,0.51369863,1339.734635,4.366438356
191,Tennessee,4/15/20,5827,124,2196,5703,88.75952809,80896,663,2.128024713,1232.244857,11.37806762
192,Texas,4/15/20,15907,375,3150,15532,69.20732573,151810,1538,2.357452694,660.4868372,9.668699315
193,Utah,4/15/20,2548,20,218,2528,88.90805693,47614,221,0.784929356,1661.408251,8.673469388
194,Vermont,4/15/20,759,29,15,730,124.3057955,11081,63,3.820816864,1814.799104,8.300395257
195,Virginia,4/15/20,6500,195,752,6305,82.20324943,44169,1298,3,558.5900499,19.96923077
196,Washington,4/15/20,10942,552,,10390,144.938613,122854,645,5.044781576,1627.333976,5.894717602
197,West Virginia,4/15/20,702,10,211,692,53.0613047,17656,164,1.424501425,1334.544723,23.36182336
198,Wisconsin,4/15/20,3721,183,,3538,71.90934282,43047,1091,4.918032787,831.8950499,29.32007525
199,Wyoming,4/15/20,287,1,129,286,57.71860671,6329,43,0.348432056,1272.826,14.9825784
200,Alabama,4/16/20,4345,133,,4212,92.66571648,36391,553,3.060989643,776.1100318,12.72727273
201,Alaska,4/16/20,300,9,110,291,50.18828973,8735,35,3,1461.315703,11.66666667
202,Arizona,4/16/20,4237,150,460,4087,58.21080831,47398,578,3.540240736,651.1861912,13.64172764
203,Arkansas,4/16/20,1620,37,548,1583,62.57176924,22675,85,2.283950617,875.8116466,5.24691358
204,California,4/16/20,27677,956,,26721,70.58906944,246400,5031,3.457744698,628.4332374,18.17754814
205,Colorado,4/16/20,8286,355,,7931,146.2197535,40533,1636,4.284335023,715.2697645,19.74414675
206,Connecticut,4/16/20,15884,971,,14913,445.5181308,53122,1926,6.113069756,1489.978226,12.12540922
207,Delaware,4/16/20,2070,55,378,2015,212.5771748,13350,209,2.657004831,1370.968736,10.09661836
208,Florida,4/16/20,23343,668,,22675,109.9394017,219248,3460,2.861671593,1032.60052,14.82243071
209,Georgia,4/16/20,15669,587,,15082,154.535878,67939,3108,3.746250558,670.0499724,19.83534367
210,Hawaii,4/16/20,530,9,359,521,37.43503609,20700,45,1.698113208,1462.085372,8.490566038
211,Idaho,4/16/20,1587,41,,1546,98.54100939,15831,143,2.583490863,982.9884812,9.010712035
212,Illinois,4/16/20,25734,1072,,24662,219.2805121,122589,4423,4.165695189,1044.5861,17.18737857
213,Indiana,4/16/20,9542,477,,9065,145.8130921,51115,,4.998952002,781.0979044,
214,Iowa,4/16/20,2141,60,987,2081,81.6953249,20675,175,2.802428772,788.9074462,8.173750584
215,Kansas,4/16/20,1615,80,,1535,66.22956521,16122,359,4.953560372,661.1473995,22.22910217
216,Kentucky,4/16/20,2435,129,862,2306,71.13013367,28324,807,5.297741273,827.3880518,33.14168378
217,Louisiana,4/16/20,22532,1156,,21376,490.1173872,126586,1914,5.130481094,2753.506106,8.494585478
218,Maine,4/16/20,796,27,333,769,67.80203849,14872,130,3.391959799,1266.773764,16.33165829
219,Maryland,4/16/20,10784,319,736,10465,181.4469486,58843,2451,2.958086053,990.0670247,22.72811573
220,Massachusetts,4/16/20,32181,1108,,31073,468.8529864,140773,3454,3.443025388,2050.956821,10.73304124
221,Michigan,4/16/20,28809,1996,617,26813,361.5923619,94286,3809,6.928390434,1183.418287,13.22156271
222,Minnesota,4/16/20,1809,87,1020,1722,36.5717123,41675,475,4.809286899,842.5241072,26.25760088
223,Mississippi,4/16/20,3624,129,,3495,125.1724402,38415,682,3.559602649,1326.84859,18.81898455
224,Missouri,4/16/20,5174,169,,5005,88.30171265,50648,1043,3.266331658,864.3805841,20.15848473
225,Montana,4/16/20,415,7,218,408,47.92219745,9936,52,1.686746988,1147.361335,12.53012048
226,Nebraska,4/16/20,952,21,,931,62.41509711,12294,,2.205882353,806.0201721,
227,Nevada,4/16/20,3214,137,,3077,106.5403652,28451,,4.26260112,943.1175885,
228,New Hampshire,4/16/20,1139,32,365,1107,85.75851486,12166,178,2.809482002,916.0123721,15.62774363
229,New Jersey,4/16/20,75317,3518,,71799,847.9552903,151830,8224,4.670924227,1709.375728,10.91918159
230,New Mexico,4/16/20,1484,36,353,1448,88.99374105,33394,215,2.425876011,2002.599049,14.48787062
231,New York,4/16/20,223691,14832,23887,208859,1326.67498,550579,50450,6.630575213,3265.394601,22.55343308
232,North Carolina,4/16/20,5639,150,,5489,56.8569376,70917,452,2.660046107,715.0422848,8.015605604
233,North Dakota,4/16/20,393,9,163,384,64.80678344,11704,45,2.290076336,1930.021866,11.45038168
234,Ohio,4/16/20,8414,407,,8007,75.30074656,74840,2331,4.837176135,669.7774986,27.70382696
235,Oklahoma,4/16/20,2357,131,1240,2226,64.44056458,30899,528,5.557912601,844.7810798,22.40135766
236,Oregon,4/16/20,1736,64,,1672,43.3233826,34938,414,3.686635945,871.9080306,23.84792627
237,Pennsylvania,4/16/20,28258,841,,27417,224.4926056,141470,2512,2.976148347,1123.893019,8.889518013
238,Rhode Island,4/16/20,3529,87,182,3442,333.1253463,28064,331,2.465287617,2649.144154,9.3794276
239,South Carolina,4/16/20,3931,111,,3820,77.99641863,34733,675,2.82370898,689.1502438,17.17120326
240,South Dakota,4/16/20,1311,7,373,1304,178.1511417,10550,55,0.533943555,1433.634283,4.195270786
241,Tennessee,4/16/20,6375,136,2786,6239,97.10691464,85049,691,2.133333333,1295.505252,10.83921569
242,Texas,4/16/20,16876,414,3677,16462,73.42319916,158547,1459,2.453187959,689.7978169,8.645413605
243,Utah,4/16/20,2683,20,357,2663,93.61864864,49678,238,0.745434215,1733.427964,8.870667164
244,Vermont,4/16/20,774,33,15,741,126.7624318,11507,58,4.263565891,1884.567575,7.493540052
245,Virginia,4/16/20,6889,208,951,6681,87.12279774,46444,1337,3.01930614,587.3611872,19.40775149
246,Washington,4/16/20,11057,579,,10478,146.4619123,124283,595,5.236501764,1646.262625,5.381206476
247,West Virginia,4/16/20,728,12,223,716,55.02653821,18306,85,1.648351648,1383.675561,11.67582418
248,Wisconsin,4/16/20,3875,197,,3678,74.88543495,44849,1121,5.083870968,866.7191928,28.92903226
249,Wyoming,4/16/20,296,2,148,294,59.52859786,6427,43,0.675675676,1292.534792,14.52702703
250,Alabama,4/17/20,4571,148,,4423,97.48561335,37848,594,3.237803544,807.1834378,12.99496828
251,Alaska,4/17/20,309,9,128,300,51.69393843,9450,36,2.912621359,1580.931127,11.65048544
252,Arizona,4/17/20,4511,169,539,4342,61.97520799,49230,566,3.746397695,676.3554621,12.54710707
253,Arkansas,4/17/20,1695,37,593,1658,65.46861041,23494,83,2.182890855,907.4451522,4.896755162
254,California,4/17/20,29157,1037,,28120,74.3637496,258800,4892,3.556607333,660.058936,16.77813218
255,Colorado,4/17/20,8691,372,,8319,153.3666278,41830,1693,4.280289955,738.1574088,19.47992176
256,Connecticut,4/17/20,16809,1036,,15773,471.4627462,55462,1946,6.163364864,1555.611091,11.5771313
257,Delaware,4/17/20,2317,61,378,2256,237.9426637,13350,209,2.632714717,1370.968736,9.020284851
258,Florida,4/17/20,24759,725,,24034,116.6083899,234837,3665,2.928228119,1106.020618,14.80269801
259,Georgia,4/17/20,17194,650,,16544,169.5762261,71684,3324,3.780388508,706.9851223,19.33232523
260,Hawaii,4/17/20,541,9,374,532,38.21198967,21857,45,1.663585952,1543.806762,8.31792976
261,Idaho,4/17/20,1609,41,390,1568,99.90704733,16183,148,2.548166563,1004.845088,9.198259789
262,Illinois,4/17/20,27578,1132,,26446,234.9933148,130163,4454,4.104721155,1109.124477,16.15055479
263,Indiana,4/17/20,10154,522,,9632,155.1651789,54785,,5.1408312,837.1798629,
264,Iowa,4/17/20,2332,64,1007,2268,88.98341787,21792,183,2.744425386,831.5294349,7.847341338
265,Kansas,4/17/20,1730,82,,1648,70.94560236,16901,375,4.739884393,693.0934251,21.67630058
266,Kentucky,4/17/20,2522,137,956,2385,73.67153886,29747,971,5.432196669,868.956093,38.50118953
